Pal,Level,Skill
Grintale,22,Explosion Rocailleuse
Grintale,30,Canon à Pierre
Grintale,40,Boule d'Énergie
Grintale,50,Hyper Rayon
Grintale,70,Explosion Sacrée
Tarantriss,1,Nuage Toxique
Tarantriss,7,Tir Empoisonné
Tarantriss,15,Noirceur Expansive
Tarantriss,22,Flèche Noire
Tarantriss,30,Charge Arachnéenne
Tarantriss,40,Douche Toxique
Tarantriss,50,Apocalypse
Tarantriss,70,Légion Sombre
Polapup,1,Missile de Glace
Polapup,7,Tir Aquatique
Polapup,15,Iceberg
Polapup,22,Geyser
Polapup,30,Mur de Glace
Polapup,40,Trident Glacé
Polapup,50,Vague Scélérate
Polapup,70,Chute de Diamants
Polapup Terra,1,Missile de Glace
Polapup Terra,7,Explosion Rocailleuse
Polapup Terra,15,Iceberg
Polapup Terra,22,Tremblement
Polapup Terra,30,Morsure du Blizzard
Polapup Terra,40,Tourbillon de Sable
Polapup Terra,50,Impact Rocheux
Polapup Terra,70,Chute de Diamants
Leezpunk,1,Tir Empoisonné
Leezpunk,7,Balle Sombre
Leezpunk,15,Déchaînement d'Ombre
Leezpunk,22,Flamme Spirituelle
Leezpunk,30,Balle Cauchemar
Leezpunk,40,Souffle Enflammé
Leezpunk,50,Laser Noir
Leezpunk,70,Légion Sombre
Leezpunk,1,Tir Empoisonné
Leezpunk,7,Balle Sombre
Leezpunk,15,Déchaînement d'Ombre
Leezpunk,22,Flamme Spirituelle
Leezpunk,30,Balle Cauchemar
Leezpunk,40,Souffle Enflammé
Leezpunk,50,Laser Noir
Leezpunk,70,Légion Sombre
Leezpunk Ignis,1,Tir Enflammé
Leezpunk Ignis,7,Tir Empoisonné
Leezpunk Ignis,15,Flammes Scindées
Leezpunk Ignis,22,Souffle Enflammé
Leezpunk Ignis,30,Tempête Ardente
Leezpunk Ignis,40,Inferno
Leezpunk Ignis,50,Boule Enflammée
Leezpunk Ignis,70,Tempête Éclair
Gorirat,1,Tir Boueux
Gorirat,7,Tir Puissant
Gorirat,15,Combo Gorille
Gorirat,22,Explosion Rocailleuse
Gorirat,30,Mitraille-Graines
Gorirat,40,Boule d'Énergie
Gorirat,50,Hyper Rayon
Gorirat,70,Explosion Sacrée
Gorirat Terra,1,Tir Puissant
Gorirat Terra,7,Tir Boueux
Gorirat Terra,15,Explosion Rocailleuse
Gorirat Terra,22,Canon à Pierre
Gorirat Terra,30,Combo Gorille
Gorirat Terra,35,Combo Primate
Gorirat Terra,40,Tremblement
Gorirat Terra,50,Lance-Roche
Gorirat Terra,70,Impact Rocheux
Surfent,1,Jet d'Eau
Surfent,7,Canon Draconique
Surfent,15,Tir Aquatique
Surfent,22,Tir Bulleux
Surfent,30,Déchaînement Draconique
Surfent,40,Souffle Draconique
Surfent,50,Hydro-Laser
Surfent,70,Éruption Aquatique
Surfent Terra,1,Tir Boueux
Surfent Terra,7,Canon Draconique
Surfent Terra,15,Explosion Rocailleuse
Surfent Terra,22,Canon à Pierre
Surfent Terra,30,Tornade de Sable
Surfent Terra,40,Souffle Draconique
Surfent Terra,50,Lance-Roche
Surfent Terra,70,Impact Rocheux
Robinquill,1,Coupe-Rafale
Robinquill,7,Tir Puissant
Robinquill,15,Tir Précis
Robinquill,22,Explose-Graines
Robinquill,30,Tornade Verte
Robinquill,40,Lierre Rampant
Robinquill,50,Rayon Solaire
Robinquill,70,Rafale Vent
Robinquill Terra,1,Tir Boueux
Robinquill Terra,7,Coupe-Rafale
Robinquill Terra,15,Tir Précis
Robinquill Terra,22,Explosion Rocailleuse
Robinquill Terra,30,Tornade de Sable
Robinquill Terra,40,Rayon Solaire
Robinquill Terra,50,Lance-Roche
Robinquill Terra,70,Impact Rocheux
Flopie,1,Coupe-Rafale
Flopie,7,Canon à Air
Flopie,15,Jet d'Eau
Flopie,22,Mitraille-Graines
Flopie,30,Tir Bulleux
Flopie,40,Tornade Verte
Flopie,50,Rayon Solaire
Flopie,70,Rafale Vent
Wixen,1,Tir Enflammé
Wixen,7,Flammes Scindées
Wixen,15,Trait de Feu
Wixen,22,Flamme Spirituelle
Wixen,30,Tempête Ardente
Wixen,40,Boule Enflammée
Wixen,50,Météore Draconique
Wixen,70,Explosion Sacrée
Wixen Noct,1,Noirceur Expansive
Wixen Noct,7,Canon Noir
Wixen Noct,15,Flèche Noire
Wixen Noct,22,Tempête Ardente
Wixen Noct,30,Flamme Spirituelle
Wixen Noct,40,Mur de Flammes
Wixen Noct,50,Apocalypse
Wixen Noct,70,Légion Sombre
Katress,1,Tir Enflammé
Katress,7,Balle Sombre
Katress,15,Trait de Feu
Katress,22,Déchaînement d'Ombre
Katress,30,Flamme Spirituelle
Katress,40,Balle Cauchemar
Katress,50,Laser Noir
Katress,70,Légion Sombre
Katress Ignis,1,Tir Enflammé
Katress Ignis,7,Canon Noir
Katress Ignis,15,Trait de Feu
Katress Ignis,22,Tempête Ardente
Katress Ignis,30,Mur de Flammes
Katress Ignis,40,Concentration de Flammes
Katress Ignis,50,Boule Enflammée
Katress Ignis,70,Légion Sombre
Helzephyr,1,Flammes Scindées
Helzephyr,7,Balle Sombre
Helzephyr,15,Déchaînement d'Ombre
Helzephyr,22,Tempête Ardente
Helzephyr,30,Flamme Spirituelle
Helzephyr,40,Balle Cauchemar
Helzephyr,50,Laser Noir
Helzephyr,70,Légion Sombre
Helzephyr,1,Flammes Scindées
Helzephyr,7,Balle Sombre
Helzephyr,15,Déchaînement d'Ombre
Helzephyr,22,Tempête Ardente
Helzephyr,30,Flamme Spirituelle
Helzephyr,40,Balle Cauchemar
Helzephyr,50,Laser Noir
Helzephyr,70,Légion Sombre
Helzephyr Lux,1,Tir Étincelant
Helzephyr Lux,7,Onde Électrique
Helzephyr Lux,15,Flèche Noire
Helzephyr Lux,22,Balle Cauchemar
Helzephyr Lux,30,Triple Étincelle
Helzephyr Lux,40,Pluie Foudroyante
Helzephyr Lux,50,Tempête Éclair
Helzephyr Lux,70,Canon Fulgurant
Elgrove,1,Tir Boueux
Elgrove,7,Tornade Verte
Elgrove,15,Tremblement
Elgrove,22,Ruée Taurine
Elgrove,30,Lierre Circulaire
Elgrove,40,Vent Croisé
Elgrove,50,Rafale Vent
Elgrove,70,Ruée Taurine Furieuse
Elgrove Cryst,1,Tir Boueux
Elgrove Cryst,7,Souffle Givré
Elgrove Cryst,15,Mur de Glace
Elgrove Cryst,22,Ruée Boréale
Elgrove Cryst,30,Trident Glacé
Elgrove Cryst,40,Morsure du Blizzard
Elgrove Cryst,50,Chute de Diamants
Elgrove Cryst,70,Ruée Boréale Furieuse
Lunaris,1,Canon à Air
Lunaris,7,Tir Puissant
Lunaris,15,Coupe-Glace
Lunaris,22,Orbes de Plasma
Lunaris,30,Boule d'Énergie
Lunaris,40,Morsure du Blizzard
Lunaris,50,Hyper Rayon
Lunaris,70,Explosion Sacrée
Fenglope,1,Canon à Air
Fenglope,7,Tir Aquatique
Fenglope,15,Tempête Nuageuse
Fenglope,22,Pluie Acide
Fenglope,30,Bombao
Fenglope,40,Morsure du Blizzard
Fenglope,50,Hyper Rayon
Fenglope,70,Explosion Sacrée
Fenglope Lux,1,Onde Électrique
Fenglope Lux,7,Éclair Horizontal
Fenglope Lux,15,Pluie Acide
Fenglope Lux,22,Tempête Orageuse
Fenglope Lux,30,Pluie Foudroyante
Fenglope Lux,40,Éclair Fulgurant
Fenglope Lux,50,Tempête Éclair
Fenglope Lux,70,Canon Fulgurant
Dinossom,1,Coupe-Rafale
Dinossom,7,Fracas Botanique
Dinossom,15,Déchaînement Draconique
Dinossom,22,Explose-Graines
Dinossom,30,Souffle Draconique
Dinossom,40,Lierre Rampant
Dinossom,50,Rayon Solaire
Dinossom,70,Rafale Vent
Dinossom Lux,1,Onde Électrique
Dinossom Lux,7,Orbes de Plasma
Dinossom Lux,15,Fracas Botanique
Dinossom Lux,22,Souffle Draconique
Dinossom Lux,30,Triple Éclair
Dinossom Lux,35,Fracas Éclair
Dinossom Lux,40,Coup de Foudre
Dinossom Lux,50,Éclair Fulgurant
Dinossom Lux,70,Tempête Éclair
Bushi,1,Tir Enflammé
Bushi,7,Coupe-Rafale
Bushi,15,Coupe-Glace
Bushi,22,Iaigiri
Bushi,30,Souffle Enflammé
Bushi,40,Coup de Foudre
Bushi,50,Inferno
Bushi,70,Boule Enflammée
Bushi Noct,1,Flammes Scindées
Bushi Noct,7,Noirceur Expansive
Bushi Noct,15,Canon Noir
Bushi Noct,18,Iaigiri
Bushi Noct,22,Flèche Noire
Bushi Noct,30,Flamme Spirituelle
Bushi Noct,40,Mur de Flammes
Bushi Noct,50,Apocalypse
Bushi Noct,70,Légion Sombre
Munchill,1,Tir Aquatique
Munchill,7,Coupe-Glace
Munchill,15,Souffle Givré
Munchill,22,Crachat Glacé
Munchill,30,Mur de Glace
Munchill,40,Double-Aqua
Munchill,50,Chute de Diamants
Munchill,70,Éruption Aquatique
Mammorest,1,Tir Boueux
Mammorest,7,Mitraille-Graines
Mammorest,15,Boule d'Énergie
Mammorest,22,Tornade Verte
Mammorest,30,Impact Terrestre
Mammorest,40,Lierre Rampant
Mammorest,50,Rayon Solaire
Mammorest,70,Rafale Vent
Mammorest Cryst,1,Canon à Pierre
Mammorest Cryst,7,Coupe-Glace
Mammorest Cryst,15,Boule d'Énergie
Mammorest Cryst,22,Iceberg
Mammorest Cryst,30,Impact Terrestre
Mammorest Cryst,40,Souffle Givré
Mammorest Cryst,50,Morsure du Blizzard
Mammorest Cryst,70,Chute de Diamants
Finsider,1,Tir Aquatique
Finsider,7,Tir Bulleux
Finsider,15,Boule d'Énergie
Finsider,22,Double-Aqua
Finsider,30,Fou de la Gâchette
Finsider,40,Éclabousse-Mur
Finsider,50,Hydro-Laser
Finsider,70,Éruption Aquatique
Finsider Ignis,1,Tir Enflammé
Finsider Ignis,7,Flammes Scindées
Finsider Ignis,15,Souffle Enflammé
Finsider Ignis,22,Geyser
Finsider Ignis,30,Fou de la Gâchette
Finsider Ignis,40,Concentration de Flammes
Finsider Ignis,50,Boule Enflammée
Finsider Ignis,70,Éruption Aquatique
Petallia,1,Coupe-Rafale
Petallia,7,Tir Aquatique
Petallia,15,Mitraille-Graines
Petallia,22,Tir Bulleux
Petallia,30,Tornade Verte
Petallia,40,Lierre Rampant
Petallia,50,Rayon Solaire
Petallia,70,Rafale Vent
Petallia Ignis,1,Tir Enflammé
Petallia Ignis,7,Flammes Scindées
Petallia Ignis,15,Trait de Feu
Petallia Ignis,22,Tempête Ardente
Petallia Ignis,30,Inferno
Petallia Ignis,40,Concentration de Flammes
Petallia Ignis,50,Boule Enflammée
Petallia Ignis,70,Rafale Vent
Leafan,1,Mitraille-Graines
Leafan,7,Multi-Coupe
Leafan,15,Tranche Venteuse
Leafan,22,Combo Mawashi
Leafan,30,Tranche-Rafale
Leafan,40,Feuille Ricochet
Leafan,50,Vent Croisé
Leafan,70,Rafale Vent
Incineram,1,Tir Enflammé
Incineram,7,Flammes Scindées
Incineram,15,Trait de Feu
Incineram,22,Griffe Infernale
Incineram,30,Déchaînement d'Ombre
Incineram,40,Boule Enflammée
Incineram,50,Inferno
Incineram,70,Légion Sombre
Incineram Noct,1,Tir Enflammé
Incineram Noct,7,Flammes Scindées
Incineram Noct,15,Trait de Feu
Incineram Noct,22,Griffe Infernale
Incineram Noct,30,Déchaînement d'Ombre
Incineram Noct,35,Griffe Cauchemardesque
Incineram Noct,40,Boule Enflammée
Incineram Noct,50,Inferno
Incineram Noct,70,Légion Sombre
Incineram Noct,1,Tir Enflammé
Incineram Noct,7,Flammes Scindées
Incineram Noct,15,Trait de Feu
Incineram Noct,22,Griffe Infernale
Incineram Noct,30,Déchaînement d'Ombre
Incineram Noct,35,Griffe Cauchemardesque
Incineram Noct,40,Boule Enflammée
Incineram Noct,50,Inferno
Incineram Noct,70,Légion Sombre
Dazzi,1,Canon à Air
Dazzi,7,Onde Électrique
Dazzi,15,Pluie Acide
Dazzi,22,Éclair Horizontal
Dazzi,30,Triple Éclair
Dazzi,40,Coup de Foudre
Dazzi,50,Éclair Fulgurant
Dazzi,70,Tempête Éclair
Dazzi Noct,1,Canon à Air
Dazzi Noct,7,Déchaînement d'Ombre
Dazzi Noct,15,Flèche Noire
Dazzi Noct,22,Pluie Acide
Dazzi Noct,30,Triple Éclair
Dazzi Noct,40,Apocalypse
Dazzi Noct,50,Pluie Foudroyante
Dazzi Noct,70,Légion Sombre
Pyrin,1,Tir Boueux
Pyrin,7,Tir Enflammé
Pyrin,15,Flammes Scindées
Pyrin,22,Trait de Feu
Pyrin,30,Charge-Flammes
Pyrin,40,Inferno
Pyrin,50,Boule Enflammée
Pyrin,70,Impact Rocheux
Pyrin Noct,1,Tir Enflammé
Pyrin Noct,7,Déchaînement d'Ombre
Pyrin Noct,15,Souffle Enflammé
Pyrin Noct,22,Flamme Spirituelle
Pyrin Noct,30,Charge-Ombre
Pyrin Noct,40,Inferno
Pyrin Noct,50,Laser Noir
Pyrin Noct,70,Légion Sombre
Relaxaurus,1,Canon Draconique
Relaxaurus,7,Tir Aquatique
Relaxaurus,15,Déchaînement Draconique
Relaxaurus,22,Tir Bulleux
Relaxaurus,30,Souffle Draconique
Relaxaurus,40,Bombao
Relaxaurus,50,Météore Draconique
Relaxaurus,70,Éruption Aquatique
Relaxaurus Lux,1,Tir Étincelant
Relaxaurus Lux,7,Canon Draconique
Relaxaurus Lux,15,Onde Électrique
Relaxaurus Lux,22,Éclair Horizontal
Relaxaurus Lux,30,Souffle Draconique
Relaxaurus Lux,40,Coup de Foudre
Relaxaurus Lux,50,Éclair Fulgurant
Relaxaurus Lux,70,Canon Fulgurant
Relaxaurus Lux,1,Tir Étincelant
Relaxaurus Lux,7,Canon Draconique
Relaxaurus Lux,15,Onde Électrique
Relaxaurus Lux,22,Éclair Horizontal
Relaxaurus Lux,30,Souffle Draconique
Relaxaurus Lux,40,Coup de Foudre
Relaxaurus Lux,50,Éclair Fulgurant
Relaxaurus Lux,70,Canon Fulgurant
Foxcicle,1,Canon à Air
Foxcicle,7,Missile de Glace
Foxcicle,15,Coupe-Glace
Foxcicle,22,Flamme Spirituelle
Foxcicle,30,Iceberg
Foxcicle,40,Souffle Givré
Foxcicle,50,Morsure du Blizzard
Foxcicle,70,Chute de Diamants
Beakon,1,Canon à Air
Beakon,7,Tir Étincelant
Beakon,15,Onde Électrique
Beakon,22,Éclair Horizontal
Beakon,26,Plongeon Éclair
Beakon,30,Triple Éclair
Beakon,40,Tornade de Sable
Beakon,50,Éclair Fulgurant
Beakon,70,Tempête Éclair
Beakon Cryst,1,Missile de Glace
Beakon Cryst,7,Iceberg
Beakon Cryst,15,Souffle Givré
Beakon Cryst,22,Grêle Tranchante
Beakon Cryst,30,Trident Glacé
Beakon Cryst,40,Morsure du Blizzard
Beakon Cryst,50,Chute de Diamants
Beakon Cryst,70,Plongeon Glacial
Ghangler,1,Tir Aquatique
Ghangler,7,Balle Sombre
Ghangler,15,Flèche Noire
Ghangler,22,Flamme Spirituelle
Ghangler,30,Fouet-Lanterne
Ghangler,40,Laser Noir
Ghangler,50,Vague Scélérate
Ghangler,70,Éruption Aquatique
Ghangler Ignis,1,Tir Enflammé
Ghangler Ignis,7,Trait de Feu
Ghangler Ignis,15,Tir Bulleux
Ghangler Ignis,22,Mur de Flammes
Ghangler Ignis,30,Fouet-Lanterne Ardente
Ghangler Ignis,40,Boule Enflammée
Ghangler Ignis,50,Vague Scélérate
Ghangler Ignis,70,Éruption Aquatique
Rayhound,1,Double Croc (Fulgura)
Rayhound,2,Croc Sauvage (Fulgura)
Rayhound,3,Tir Boueux
Rayhound,7,Onde Électrique
Rayhound,15,Tir Étincelant
Rayhound,22,Explosion Rocailleuse
Rayhound,26,Appel Éclair
Rayhound,30,Boule de Foudre
Rayhound,40,Éclair Horizontal
Rayhound,50,Éclair Fulgurant
Rayhound,70,Tempête Éclair
Rayhound Cryst,1,Double Croc (Glacia)
Rayhound Cryst,2,Croc Sauvage (Glacia)
Rayhound Cryst,3,Tir Boueux
Rayhound Cryst,7,Coupe-Glace
Rayhound Cryst,15,Iceberg
Rayhound Cryst,22,Souffle Givré
Rayhound Cryst,30,Frimas
Rayhound Cryst,40,Trident Glacé
Rayhound Cryst,50,Morsure du Blizzard
Rayhound Cryst,70,Chute de Diamants
Menasting,1,Tir Boueux
Menasting,7,Tir Empoisonné
Menasting,15,Déchaînement d'Ombre
Menasting,22,Canon à Pierre
Menasting,30,Balle Cauchemar
Menasting,35,Piqûre Sautée
Menasting,40,Lance-Roche
Menasting,50,Laser Noir
Menasting,70,Légion Sombre
Menasting Terra,1,Tir Boueux
Menasting Terra,7,Explosion Rocailleuse
Menasting Terra,15,Canon à Pierre
Menasting Terra,22,Tornade de Sable
Menasting Terra,30,Piqûre Sautée
Menasting Terra,40,Lance-Roche
Menasting Terra,50,Tremblement
Menasting Terra,70,Impact Rocheux
Needoll,1,Mitraille-Graines
Needoll,7,Explose-Graines
Needoll,15,Lierre Rampant
Needoll,22,Lierre Circulaire
Needoll,30,Feuille Ricochet
Needoll,40,Rayon Solaire
Needoll,50,Vent Croisé
Needoll,70,Rafale Vent
Needoll Noct,1,Tir Empoisonné
Needoll Noct,7,Explose-Graines
Needoll Noct,15,Douche Toxique
Needoll Noct,22,Lierre Circulaire
Needoll Noct,30,Laser Noir
Needoll Noct,40,Vent Croisé
Needoll Noct,50,Légion Sombre
Needoll Noct,70,Rafale Vent
Reindrix,1,Canon à Air
Reindrix,7,Missile de Glace
Reindrix,15,Coupe-Glace
Reindrix,22,Ruée Glacée
Reindrix,30,Iceberg
Reindrix,40,Souffle Givré
Reindrix,50,Morsure du Blizzard
Reindrix,70,Chute de Diamants
Mossanda,1,Tir Puissant
Mossanda,7,Mitraille-Graines
Mossanda,15,Canon à Pierre
Mossanda,22,Poing Musclé
Mossanda,30,Explose-Graines
Mossanda,40,Lierre Rampant
Mossanda,50,Rayon Solaire
Mossanda,70,Rafale Vent
Mossanda Lux,1,Tir Étincelant
Mossanda Lux,7,Onde Électrique
Mossanda Lux,15,Éclair Horizontal
Mossanda Lux,22,Explo-Poing
Mossanda Lux,30,Triple Éclair
Mossanda Lux,40,Coup de Foudre
Mossanda Lux,50,Éclair Fulgurant
Mossanda Lux,70,Canon Fulgurant
Mossanda Lux,1,Tir Étincelant
Mossanda Lux,7,Onde Électrique
Mossanda Lux,15,Éclair Horizontal
Mossanda Lux,22,Explo-Poing
Mossanda Lux,30,Triple Éclair
Mossanda Lux,40,Coup de Foudre
Mossanda Lux,50,Éclair Fulgurant
Mossanda Lux,70,Canon Fulgurant
Chillet,1,Missile de Glace
Chillet,7,Canon Draconique
Chillet,11,Piqué Fusée
Chillet,15,Déchaînement Draconique
Chillet,22,Coupe-Glace
Chillet,30,Souffle Draconique
Chillet,40,Souffle Givré
Chillet,50,Météore Draconique
Chillet,70,Chute de Diamants
Chillet Ignis,1,Tir Enflammé
Chillet Ignis,7,Déchaînement Draconique
Chillet Ignis,15,Trait de Feu
Chillet Ignis,22,Souffle Enflammé
Chillet Ignis,30,Piqué Fusée
Chillet Ignis,40,Mur de Flammes
Chillet Ignis,50,Boule Enflammée
Chillet Ignis,70,Météore Draconique
Ragnahawk,1,Canon à Air
Ragnahawk,7,Flammes Scindées
Ragnahawk,15,Trait de Feu
Ragnahawk,22,Tornade de Sable
Ragnahawk,26,Ruée Aviaire
Ragnahawk,30,Tempête Ardente
Ragnahawk,40,Souffle Enflammé
Ragnahawk,50,Boule Enflammée
Ragnahawk,70,Tempête Éclair
Moldron,1,Flammes Scindées
Moldron,7,Souffle Enflammé
Moldron,15,Mur de Flammes
Moldron,22,Tremblement
Moldron,30,Pluie Volcanique
Moldron,40,Impact Rocheux
Moldron,50,Crache-Magma
Moldron,70,Laser Magma
Moldron Cryst,1,Iceberg
Moldron Cryst,7,Souffle Givré
Moldron Cryst,15,Trident Glacé
Moldron Cryst,22,Tremblement
Moldron Cryst,30,Morsure du Blizzard
Moldron Cryst,40,Impact Rocheux
Moldron Cryst,50,Crache-Glace
Moldron Cryst,70,Laser-Glace
Palumba,1,Mitraille-Graines
Palumba,7,Explose-Graines
Palumba,15,Tornade Verte
Palumba,22,Tranche Venteuse
Palumba,30,Coup de Pied Fulgurant
Palumba,40,Feuille Ricochet
Palumba,50,Vent Croisé
Palumba,70,Rafale Vent
Digtoise,1,Tir Aquatique
Digtoise,7,Explosion Rocailleuse
Digtoise,15,Coquille Rotative
Digtoise,22,Canon à Pierre
Digtoise,30,Tornade de Sable
Digtoise,40,Bombao
Digtoise,50,Lance-Roche
Digtoise,70,Impact Rocheux
Broncherry,1,Coupe-Rafale
Broncherry,7,Tir Boueux
Broncherry,15,Fracas Corporel
Broncherry,22,Explose-Graines
Broncherry,30,Tornade Verte
Broncherry,40,Lierre Rampant
Broncherry,50,Rayon Solaire
Broncherry,70,Rafale Vent
Broncherry Aqua,1,Tir Aquatique
Broncherry Aqua,7,Tir Bulleux
Broncherry Aqua,15,Fracas Corporel
Broncherry Aqua,22,Explose-Graines
Broncherry Aqua,26,Plaquage Trempé
Broncherry Aqua,30,Lierre Rampant
Broncherry Aqua,40,Bombao
Broncherry Aqua,50,Hydro-Laser
Broncherry Aqua,70,Éruption Aquatique
Dumud,1,Tir Boueux
Dumud,7,Tir Aquatique
Dumud,15,Explosion Rocailleuse
Dumud,22,Tir Bulleux
Dumud,30,Bombao
Dumud,40,Lance-Roche
Dumud,50,Hydro-Laser
Dumud,70,Éruption Aquatique
Dumud Gild,1,Tir Boueux
Dumud Gild,7,Tir Aquatique
Dumud Gild,15,Explosion Rocailleuse
Dumud Gild,22,Tornade de Sable
Dumud Gild,30,Double-Aqua
Dumud Gild,40,Tremblement
Dumud Gild,50,Tourbillon de Sable
Dumud Gild,70,Impact Rocheux
Braloha,1,Tir Boueux
Braloha,7,Explose-Graines
Braloha,15,Tornade Verte
Braloha,22,Lierre Rampant
Braloha,30,Souffle Persistant
Braloha,40,Rayon Solaire
Braloha,50,Impact Rocheux
Braloha,70,Rafale Vent
Kitsun,1,Double Croc (Flamma)
Kitsun,2,Croc Sauvage (Flamma)
Kitsun,3,Tir Enflammé
Kitsun,7,Flammes Scindées
Kitsun,15,Flamme Spirituelle
Kitsun,22,Flammes Azur
Kitsun,30,Tempête Ardente
Kitsun,40,Inferno
Kitsun,50,Boule Enflammée
Kitsun,70,Explosion Sacrée
Kitsun Noct,1,Double Croc (Tenebrae)
Kitsun Noct,2,Croc Sauvage (Tenebrae)
Kitsun Noct,3,Canon Noir
Kitsun Noct,7,Flammes Scindées
Kitsun Noct,15,Flamme Spirituelle
Kitsun Noct,22,Éclair Ardent de l'Ombre
Kitsun Noct,30,Balle Cauchemar
Kitsun Noct,40,Concentration de Flammes
Kitsun Noct,50,Légion Sombre
Kitsun Noct,70,Météore Draconique
Kitsun Noct,1,Double Croc (Tenebrae)
Kitsun Noct,2,Croc Sauvage (Tenebrae)
Kitsun Noct,3,Canon Noir
Kitsun Noct,7,Flammes Scindées
Kitsun Noct,15,Flamme Spirituelle
Kitsun Noct,22,Éclair Ardent de l'Ombre
Kitsun Noct,30,Balle Cauchemar
Kitsun Noct,40,Concentration de Flammes
Kitsun Noct,50,Légion Sombre
Kitsun Noct,70,Météore Draconique
Kitsun Noct,1,Double Croc (Tenebrae)
Kitsun Noct,2,Croc Sauvage (Tenebrae)
Kitsun Noct,3,Canon Noir
Kitsun Noct,7,Flammes Scindées
Kitsun Noct,15,Flamme Spirituelle
Kitsun Noct,22,Éclair Ardent de l'Ombre
Kitsun Noct,30,Balle Cauchemar
Kitsun Noct,40,Concentration de Flammes
Kitsun Noct,50,Légion Sombre
Kitsun Noct,70,Météore Draconique
Blazehowl,1,Tir Enflammé
Blazehowl,7,Tir Puissant
Blazehowl,15,Trait de Feu
Blazehowl,22,Souffle Enflammé
Blazehowl,30,Inferno
Blazehowl,35,Croc Volcanique
Blazehowl,40,Boule Enflammée
Blazehowl,50,Hyper Rayon
Blazehowl,70,Tempête Éclair
Blazehowl Noct,1,Déchaînement d'Ombre
Blazehowl Noct,7,Trait de Feu
Blazehowl Noct,15,Souffle Enflammé
Blazehowl Noct,22,Flamme Spirituelle
Blazehowl Noct,30,Inferno
Blazehowl Noct,35,Croc Volcanique
Blazehowl Noct,40,Boule Enflammée
Blazehowl Noct,50,Laser Noir
Blazehowl Noct,70,Légion Sombre
Warsect,1,Coupe-Rafale
Warsect,7,Mitraille-Graines
Warsect,15,Explosion Rocailleuse
Warsect,22,Canon à Pierre
Warsect,30,Gigacorne
Warsect,40,Lance-Roche
Warsect,50,Rayon Solaire
Warsect,70,Rafale Vent
Warsect Terra,1,Tir Boueux
Warsect Terra,7,Mitraille-Graines
Warsect Terra,15,Gigacorne
Warsect Terra,22,Canon à Pierre
Warsect Terra,30,Tranche Venteuse
Warsect Terra,40,Tremblement
Warsect Terra,50,Impact Rocheux
Warsect Terra,70,Canon Fulgurant
Frostplume,1,Missile de Glace
Frostplume,7,Coupe-Glace
Frostplume,15,Iceberg
Frostplume,22,Souffle Givré
Frostplume,30,Mur de Glace
Frostplume,40,Grêle Tranchante
Frostplume,50,Chute de Diamants
Frostplume,70,Ère Glaciaire
Majex,1,Tir Obscur
Majex,7,Flammes Scindées
Majex,15,Flèche Noire
Majex,22,Mur de Flammes
Majex,30,Pluie Volcanique
Majex,40,Laser Noir
Majex,50,Boule Enflammée
Majex,70,Légion Sombre
Sibelyx,1,Missile de Glace
Sibelyx,7,Coupe-Glace
Sibelyx,15,Iceberg
Sibelyx,22,Souffle Givré
Sibelyx,30,Flamme Spirituelle
Sibelyx,40,Bombao
Sibelyx,50,Morsure du Blizzard
Sibelyx,70,Chute de Diamants
Sibelyx Primo,1,Canon à Air
Sibelyx Primo,7,Tir Puissant
Sibelyx Primo,15,Boule d'Énergie
Sibelyx Primo,22,Lame Aérienne
Sibelyx Primo,30,Morsure du Blizzard
Sibelyx Primo,40,Hyper Rayon
Sibelyx Primo,50,Chute de Diamants
Sibelyx Primo,70,Explosion Sacrée
Maraith,1,Tir Enflammé
Maraith,7,Balle Sombre
Maraith,15,Trait de Feu
Maraith,22,Déchaînement d'Ombre
Maraith,30,Flamme Spirituelle
Maraith,35,Ruée Spirituelle
Maraith,40,Balle Cauchemar
Maraith,50,Laser Noir
Maraith,70,Légion Sombre
Shroomer,1,Tir Empoisonné
Shroomer,7,Mitraille-Graines
Shroomer,15,Tornade Verte
Shroomer,22,Explose-Graines
Shroomer,30,Lierre Rampant
Shroomer,40,Lierre Circulaire
Shroomer,50,Rayon Solaire
Shroomer,70,Rafale Vent
Shroomer Noct,1,Tir Empoisonné
Shroomer Noct,7,Déchaînement d'Ombre
Shroomer Noct,15,Tornade Verte
Shroomer Noct,22,Explose-Graines
Shroomer Noct,30,Balle Cauchemar
Shroomer Noct,40,Lierre Circulaire
Shroomer Noct,50,Laser Noir
Shroomer Noct,70,Légion Sombre
Icelyn,1,Missile de Glace
Icelyn,7,Coupe-Glace
Icelyn,15,Iceberg
Icelyn,22,Souffle Givré
Icelyn,30,Mur de Glace
Icelyn,40,Morsure du Blizzard
Icelyn,50,Chute de Diamants
Icelyn,70,Ère Glaciaire
Gildra,1,Balle Sombre
Gildra,7,Flamme Spirituelle
Gildra,15,Tornade de Sable
Gildra,22,Balle Cauchemar
Gildra,30,Tourbillon de Sable
Gildra,40,Momirage
Gildra,50,Légion Sombre
Gildra,70,Impact Rocheux
Jormuntide,1,Tir Aquatique
Jormuntide,7,Canon Draconique
Jormuntide,15,Souffle Draconique
Jormuntide,22,Bombao
Jormuntide,30,Triple Éclair
Jormuntide,35,Serpent Marin
Jormuntide,40,Hydro-Laser
Jormuntide,50,Météore Draconique
Jormuntide,70,Éruption Aquatique
