Pal,Index,Primary Element,Secondary Element,Rarity,HP,Attack,Defense,Work Speed,Support,HP Lvl80 Min,HP Lvl80 Max,Attack Lvl80 Min,Attack Lvl80 Max,Defense Lvl80 Min,Defense Lvl80 Max,Combat Rating (/10),Role,Partner Skill,Passive Skill,Mountable,Source URL,Data Date
Dazzi Noct,92,Dark,Electric,2,70,80,75,100,100,3700.0,4540.0,580.0,724.0,500.0,635.0,1.6,All-Rounder,Fille de l'Orage Obscur,,False,https://paldb.cc/fr/Dazzi_Noct,2026-08-06
Pyrin,93,Fire,,6,100,95,90,100,100,4900.0,6100.0,670.0,841.0,590.0,752.0,2.9,All-Rounder,Cheval Rouge,,True,https://paldb.cc/fr/Pyrin,2026-08-06
Pyrin Noct,93,Fire,Dark,7,100,95,90,100,100,4900.0,6100.0,670.0,841.0,590.0,752.0,2.9,All-Rounder,Cheval Noir,,True,https://paldb.cc/fr/Pyrin_Noct,2026-08-06
Relaxaurus,94,Dragon,Water,8,120,115,110,100,100,5700.0,7140.0,790.0,997.0,710.0,908.0,4.2,All-Rounder,Missile Affamé,Glouton,False,https://paldb.cc/fr/Relaxaurus,2026-08-06
Relaxaurus Lux,94,Dragon,Electric,9,120,120,110,100,100,5700.0,7140.0,820.0,1036.0,710.0,908.0,4.4,All-Rounder,Fête aux Missiles,,False,https://paldb.cc/fr/Relaxaurus_Lux,2026-08-06
Foxcicle,95,Ice,,5,90,95,105,100,100,4500.0,5580.0,670.0,841.0,680.0,869.0,3.1,All-Rounder,Instinct Boréal,,False,https://paldb.cc/fr/Foxcicle,2026-08-06
Beakon,96,Electric,,6,105,115,80,100,100,5100.0,6360.0,790.0,997.0,530.0,674.0,3.3,Attacker,Orage,,True,https://paldb.cc/fr/Beakon,2026-08-06
Beakon Cryst,96,Ice,,7,105,115,85,100,100,5100.0,6360.0,790.0,997.0,560.0,713.0,3.4,Attacker,Grésil Céleste,,True,https://paldb.cc/fr/Beakon_Cryst,2026-08-06
Ghangler,97,Dark,Water,5,90,125,105,100,100,4500.0,5580.0,850.0,1075.0,680.0,869.0,4.0,All-Rounder,Guide des Ténèbres,,True,https://paldb.cc/fr/Ghangler,2026-08-06
Ghangler Ignis,97,Fire,Water,6,90,130,105,100,100,4500.0,5580.0,880.0,1114.0,680.0,869.0,4.1,All-Rounder,Cordon-bleu des Profondeurs,,True,https://paldb.cc/fr/Ghangler_Ignis,2026-08-06
Rayhound,98,Electric,,5,90,100,80,100,100,4500.0,5580.0,700.0,880.0,530.0,674.0,2.6,Attacker,Chien Électrique,,True,https://paldb.cc/fr/Rayhound,2026-08-06
Rayhound Cryst,98,Ice,,6,90,105,80,100,100,4500.0,5580.0,730.0,919.0,530.0,674.0,2.8,Attacker,Blizzarus-K9,,True,https://paldb.cc/fr/Rayhound_Cryst,2026-08-06
Menasting,99,Dark,Ground,9,100,100,130,100,100,4900.0,6100.0,700.0,880.0,830.0,1064.0,3.9,All-Rounder,Scorpion d'Acier,,False,https://paldb.cc/fr/Menasting,2026-08-06
Menasting Terra,99,Ground,,10,100,105,130,100,100,4900.0,6100.0,730.0,919.0,830.0,1064.0,4.1,All-Rounder,Scorpion Doré,,False,https://paldb.cc/fr/Menasting_Terra,2026-08-06
Needoll,100,Grass,,2,75,85,70,100,100,3900.0,4800.0,610.0,763.0,470.0,596.0,1.7,All-Rounder,Free Hug,,False,https://paldb.cc/fr/Needoll,2026-08-06
Needoll Noct,100,Dark,Grass,3,75,90,70,100,100,3900.0,4800.0,640.0,802.0,470.0,596.0,1.9,Attacker,Câlin Piquant,,False,https://paldb.cc/fr/Needoll_Noct,2026-08-06
Reindrix,101,Ice,,4,100,85,110,100,100,4900.0,6100.0,610.0,763.0,710.0,908.0,3.0,All-Rounder,Fraîcheur Corporelle,,True,https://paldb.cc/fr/Reindrix,2026-08-06
Mossanda,102,Grass,,6,100,90,90,100,100,4900.0,6100.0,640.0,802.0,590.0,752.0,2.7,All-Rounder,Pandanade,,False,https://paldb.cc/fr/Mossanda,2026-08-06
Mossanda Lux,102,Electric,,7,100,100,100,100,100,4900.0,6100.0,700.0,880.0,650.0,830.0,3.2,All-Rounder,Pandanade,,False,https://paldb.cc/fr/Mossanda_Lux,2026-08-06
Chillet,103,Ice,Dragon,4,90,80,80,100,100,4500.0,5580.0,580.0,724.0,530.0,674.0,2.0,All-Rounder,Belette Stupéfiante,,True,https://paldb.cc/fr/Chillet,2026-08-06
Chillet Ignis,103,Fire,Dragon,5,90,85,80,100,100,4500.0,5580.0,610.0,763.0,530.0,674.0,2.2,All-Rounder,Belette Crépitante,,True,https://paldb.cc/fr/Chillet_Ignis,2026-08-06
Ragnahawk,104,Fire,,7,95,105,120,100,100,4700.0,5840.0,730.0,919.0,770.0,986.0,3.8,All-Rounder,Ailes Enflammées,,True,https://paldb.cc/fr/Ragnahawk,2026-08-06
Moldron,105,Fire,Ground,7,110,125,115,100,100,5300.0,6620.0,850.0,1075.0,740.0,947.0,4.5,All-Rounder,Trop-Plein de Magma,,True,https://paldb.cc/fr/Moldron,2026-08-06
Moldron Cryst,105,Ice,Ground,8,110,125,120,100,100,5300.0,6620.0,850.0,1075.0,770.0,986.0,4.6,All-Rounder,Trop-Plein de Glace,,True,https://paldb.cc/fr/Moldron_Cryst,2026-08-06
Palumba,106,Grass,,6,105,110,115,100,100,5100.0,6360.0,760.0,958.0,740.0,947.0,4.0,All-Rounder,Bain de Soleil,,True,https://paldb.cc/fr/Palumba,2026-08-06
Digtoise,107,Ground,,5,80,95,120,100,100,4100.0,5060.0,670.0,841.0,770.0,986.0,3.3,All-Rounder,Perceuse Broyeuse,Peau dure,False,https://paldb.cc/fr/Digtoise,2026-08-06
Broncherry,108,Grass,,8,120,90,100,100,120,5700.0,7140.0,640.0,802.0,650.0,830.0,3.2,All-Rounder,Floraison du Premier Amour,Poids Lourd,True,https://paldb.cc/fr/Broncherry,2026-08-06
Broncherry Aqua,108,Grass,Water,8,120,95,100,100,120,5700.0,7140.0,670.0,841.0,650.0,830.0,3.4,All-Rounder,Floraison de Pureté,Poids Lourd,True,https://paldb.cc/fr/Broncherry_Aqua,2026-08-06
Dumud,109,Ground,Water,4,100,70,95,100,100,4900.0,6100.0,520.0,646.0,620.0,791.0,2.2,All-Rounder,Amélioration Terrestre,,False,https://paldb.cc/fr/Dumud,2026-08-06
Dumud Gild,109,Ground,Water,5,105,75,100,100,100,5100.0,6360.0,550.0,685.0,650.0,830.0,2.6,All-Rounder,Ruée vers L'Or,,False,https://paldb.cc/fr/Dumud_Gild,2026-08-06
Braloha,110,Grass,Ground,8,130,95,120,100,100,6100.0,7660.0,670.0,841.0,770.0,986.0,4.0,All-Rounder,Soleil Accablant,Poids Lourd,True,https://paldb.cc/fr/Braloha,2026-08-06
Kitsun,111,Fire,,6,100,115,100,100,110,4900.0,6100.0,790.0,997.0,650.0,830.0,3.7,All-Rounder,Loup Solaire,,True,https://paldb.cc/fr/Kitsun,2026-08-06
Kitsun Noct,111,Dark,,6,100,115,105,100,110,4900.0,6100.0,790.0,997.0,680.0,869.0,3.8,All-Rounder,Loup Morose,,True,https://paldb.cc/fr/Kitsun_Noct,2026-08-06
Blazehowl,112,Fire,,7,105,110,80,100,100,5100.0,6360.0,760.0,958.0,530.0,674.0,3.1,Attacker,Lion Infernal,,True,https://paldb.cc/fr/Blazehowl,2026-08-06
Blazehowl Noct,112,Fire,Dark,8,105,115,80,100,100,5100.0,6360.0,790.0,997.0,530.0,674.0,3.3,Attacker,Lion des Flammes Noires,,True,https://paldb.cc/fr/Blazehowl_Noct,2026-08-06
Warsect,113,Ground,Grass,8,120,100,120,100,100,5700.0,7140.0,700.0,880.0,770.0,986.0,4.0,All-Rounder,Armure Noire,Peau dure,False,https://paldb.cc/fr/Warsect,2026-08-06
Warsect Terra,113,Ground,,9,120,105,120,100,100,5700.0,7140.0,730.0,919.0,770.0,986.0,4.1,All-Rounder,Armure Or,Peau dure,False,https://paldb.cc/fr/Warsect_Terra,2026-08-06
Frostplume,114,Ice,,4,110,100,100,100,100,5300.0,6620.0,700.0,880.0,650.0,830.0,3.4,All-Rounder,Paon Pan,,False,https://paldb.cc/fr/Frostplume,2026-08-06
Majex,115,Dark,Fire,5,110,115,90,100,100,5300.0,6620.0,790.0,997.0,590.0,752.0,3.6,Attacker,Incantation Secrète,,False,https://paldb.cc/fr/Majex,2026-08-06
Sibelyx,116,Ice,,7,110,90,100,100,90,5300.0,6620.0,640.0,802.0,650.0,830.0,3.1,All-Rounder,Voile Soyeux,,False,https://paldb.cc/fr/Sibelyx,2026-08-06
Sibelyx Primo,116,Neutral,,8,115,90,100,100,90,5500.0,6880.0,640.0,802.0,650.0,830.0,3.2,All-Rounder,Voile Doré,,False,https://paldb.cc/fr/Sibelyx_Primo,2026-08-06
Maraith,117,Dark,,6,75,105,80,100,100,3900.0,4800.0,730.0,919.0,530.0,674.0,2.6,Attacker,Messager de la Mort,,True,https://paldb.cc/fr/Maraith,2026-08-06
Shroomer,118,Grass,,4,110,80,90,100,100,5300.0,6620.0,580.0,724.0,590.0,752.0,2.5,All-Rounder,Spores Vivaces,,True,https://paldb.cc/fr/Shroomer,2026-08-06
Shroomer Noct,118,Grass,Dark,5,110,85,90,100,100,5300.0,6620.0,610.0,763.0,590.0,752.0,2.7,All-Rounder,Spores Fumantes,,True,https://paldb.cc/fr/Shroomer_Noct,2026-08-06
Icelyn,119,Ice,,4,95,115,105,100,100,4700.0,5840.0,790.0,997.0,680.0,869.0,3.7,All-Rounder,Sorcière Frigorifique,,False,https://paldb.cc/fr/Icelyn,2026-08-06
Gildra,120,Dark,Ground,5,105,120,105,100,100,5100.0,6360.0,820.0,1036.0,680.0,869.0,4.0,All-Rounder,Résurrection,,False,https://paldb.cc/fr/Gildra,2026-08-06
Jormuntide,121,Dragon,Water,8,130,120,100,100,100,6100.0,7660.0,820.0,1036.0,650.0,830.0,4.3,All-Rounder,Dragon Marin Tempétueux,Seigneur des Mers,True,https://paldb.cc/fr/Jormuntide,2026-08-06
Jormuntide Ignis,121,Dragon,Fire,9,130,130,100,100,100,6100.0,7660.0,880.0,1114.0,650.0,830.0,4.6,Attacker,Dragon de Lave Tempétueux,,True,https://paldb.cc/fr/Jormuntide_Ignis,2026-08-06
Suzaku,122,Fire,,8,120,105,105,100,100,5700.0,7140.0,730.0,919.0,680.0,869.0,3.8,All-Rounder,Ailes de Feu,,True,https://paldb.cc/fr/Suzaku,2026-08-06
Suzaku Aqua,122,Water,,9,125,105,105,100,100,5900.0,7400.0,730.0,919.0,680.0,869.0,3.9,All-Rounder,Ailes d'Eau,,True,https://paldb.cc/fr/Suzaku_Aqua,2026-08-06
Dazemu,123,Ground,,5,95,90,80,100,100,4700.0,5840.0,640.0,802.0,530.0,674.0,2.4,All-Rounder,Ruée Sablonneuse,,True,https://paldb.cc/fr/Dazemu,2026-08-06
Quivern,124,Dragon,,7,105,100,100,100,100,5100.0,6360.0,700.0,880.0,650.0,830.0,3.3,All-Rounder,Compassion du Dragon Céleste,,True,https://paldb.cc/fr/Quivern,2026-08-06
Quivern Botan,124,Dragon,Grass,8,105,105,100,100,100,5100.0,6360.0,730.0,919.0,650.0,830.0,3.5,All-Rounder,Affection du Dragon Sylvestre,,True,https://paldb.cc/fr/Quivern_Botan,2026-08-06
Lullu,125,Grass,,4,90,90,80,100,100,4500.0,5580.0,640.0,802.0,530.0,674.0,2.3,All-Rounder,Turbo Floral,,False,https://paldb.cc/fr/Lullu,2026-08-06
Kikit,126,Ground,,4,75,70,90,100,100,3900.0,4800.0,520.0,646.0,590.0,752.0,1.7,All-Rounder,Balle de Plage,,False,https://paldb.cc/fr/Kikit,2026-08-06
Yakumo,127,Neutral,,4,85,85,85,100,110,4300.0,5320.0,610.0,763.0,560.0,713.0,2.2,All-Rounder,Qui se ressemble s'assemble,"Colère Divine, Corps Adamantin, Vigueur Éternelle, Inébranlable, Roi des Vagues, Grand Prince, Légèreté, Maîtrise de la Faim, Maître Éleveur, Maîtrise Exceptionnelle, Sprinteur, Vampire, Coursier Marin, Appliqué, Corps Robuste, Nutritionniste, Apprenti Éleveur, Féroce, Ange Médecin, Infatigable, Chef d'Abattage, Chef d'Extraction, Motivateur, Noble, Philanthrope, Instructeur de Tir, Coursier, Sérénité, Généreux, Stratège de Forteresse, Chef d'Assaut, Guide de l'effort, Acharné, Poids Lourd, Impulsif, Anormal, Rentre-Dedans, Sang de Dragon, Protection Végétale, Brave, Condensateur, Lumineux, Sang Froid, Vaniteux, Frugal, Tueur de Dragons, Parasismique, Belle Fourrure, Force de la Nature, Fragrance Boisée, Peau dure, Sang Chaud, Trouble-Fête, Hydrophile, Impatient, Nocturne, Isolant, Masochiste, Vif, Optimiste, Force Tellurique, Pyromane, Sadique, Sérieux, Nage Fluide, Esprit Zen, Bronzage Naturel, Voile des Ténèbres, Imperméabilité, Soumis, Maladroit, Lâche, Vulnérable aux Coups, Tranquille, Glouton, Pitié, Oiseau de Nuit, Miteux, Reclus, Mentalement Instable, Estomac sans Fond, Soif de Destruction, Os fragiles, Pacifiste, Négligent",True,https://paldb.cc/fr/Yakumo,2026-08-06
Skutlass,128,Water,,5,70,100,80,100,100,3700.0,4540.0,700.0,880.0,530.0,674.0,2.3,Attacker,Désossage,,False,https://paldb.cc/fr/Skutlass,2026-08-06
Skutlass Ignis,128,Water,Fire,5,70,105,80,100,100,3700.0,4540.0,730.0,919.0,530.0,674.0,2.5,Attacker,Barbecue,,False,https://paldb.cc/fr/Skutlass_Ignis,2026-08-06
Reptyro,129,Fire,Ground,6,110,105,120,100,100,5300.0,6620.0,730.0,919.0,770.0,986.0,4.0,All-Rounder,Bête Briseuse de Cristal,Poids Lourd,True,https://paldb.cc/fr/Reptyro,2026-08-06
Reptyro Cryst,129,Ice,Ground,7,110,105,130,100,100,5300.0,6620.0,730.0,919.0,830.0,1064.0,4.2,All-Rounder,Bête Biseuse d'Icebergs,Poids Lourd,True,https://paldb.cc/fr/Reptyro_Cryst,2026-08-06
Starryon,130,Dark,,7,110,100,100,100,100,5300.0,6620.0,700.0,880.0,650.0,830.0,3.4,All-Rounder,Danseur de Minuit,,True,https://paldb.cc/fr/Starryon,2026-08-06
Starryon Primo,130,Neutral,,8,110,105,100,100,100,5300.0,6620.0,730.0,919.0,650.0,830.0,3.5,All-Rounder,Danseur Radieux,,True,https://paldb.cc/fr/Starryon_Primo,2026-08-06
Pierdon,131,Ground,,6,100,105,120,100,100,4900.0,6100.0,730.0,919.0,770.0,986.0,3.9,All-Rounder,Pierre de Force,Poids Lourd,False,https://paldb.cc/fr/Pierdon,2026-08-06
Pierdon Cryst,131,Ice,,7,100,110,120,100,100,4900.0,6100.0,760.0,958.0,770.0,986.0,4.0,All-Rounder,Cristal de Force,Poids Lourd,False,https://paldb.cc/fr/Pierdon_Cryst,2026-08-06
Cryolinx,132,Ice,,7,100,100,110,100,100,4900.0,6100.0,700.0,880.0,710.0,908.0,3.5,All-Rounder,Chasseur de Dragons,,False,https://paldb.cc/fr/Cryolinx,2026-08-06
Cryolinx Terra,132,Ground,,7,100,105,110,100,100,4900.0,6100.0,730.0,919.0,710.0,908.0,3.6,All-Rounder,Poigne Explosive,,False,https://paldb.cc/fr/Cryolinx_Terra,2026-08-06
Snugloo,133,Ice,,3,80,75,85,100,100,4100.0,5060.0,550.0,685.0,560.0,713.0,1.9,All-Rounder,Œil Invisible,,False,https://paldb.cc/fr/Snugloo,2026-08-06
Wumpo,134,Ice,,7,140,80,100,100,100,6500.0,8180.0,580.0,724.0,650.0,830.0,3.2,All-Rounder,Gardien des Montagnes Enneigées,Poids Lourd,True,https://paldb.cc/fr/Wumpo,2026-08-06
Wumpo Botan,134,Grass,,8,140,80,110,100,100,6500.0,8180.0,580.0,724.0,710.0,908.0,3.4,All-Rounder,Gardien du Sud,Poids Lourd,True,https://paldb.cc/fr/Wumpo_Botan,2026-08-06
Sootseer,135,Dark,Fire,7,105,125,90,100,100,5100.0,6360.0,850.0,1075.0,590.0,752.0,3.8,Attacker,Pille-Tombes,,False,https://paldb.cc/fr/Sootseer,2026-08-06
Carnibora,136,Grass,,6,85,90,85,100,100,4300.0,5320.0,640.0,802.0,560.0,713.0,2.4,All-Rounder,Langue Fourchue,,False,https://paldb.cc/fr/Carnibora,2026-08-06
Blazamut,137,Fire,,9,100,125,120,100,50,4900.0,6100.0,850.0,1075.0,770.0,986.0,4.5,All-Rounder,Empereur Magmatique,Empereur Enflammé,True,https://paldb.cc/fr/Blazamut,2026-08-06
Blazamut Ryu,137,Dragon,Fire,10,105,130,125,100,50,5100.0,6360.0,880.0,1114.0,800.0,1025.0,4.8,All-Rounder,Roi des Dragons,Feu Éternel,True,https://paldb.cc/fr/Blazamut_Ryu,2026-08-06
Dualith,138,Ground,Grass,8,110,105,125,100,100,5300.0,6620.0,730.0,919.0,800.0,1025.0,4.1,All-Rounder,Laser Sylvain,Poids Lourd,True,https://paldb.cc/fr/Dualith,2026-08-06
Dualith Noct,138,Ground,Dark,8,110,110,125,100,100,5300.0,6620.0,760.0,958.0,800.0,1025.0,4.3,All-Rounder,Laser Corrompu,Poids Lourd,True,https://paldb.cc/fr/Dualith_Noct,2026-08-06
Anubis,139,Ground,,10,120,130,100,100,100,5700.0,7140.0,880.0,1114.0,650.0,830.0,4.4,Attacker,Gardien du Désert,Empereur Terrestre,False,https://paldb.cc/fr/Anubis,2026-08-06
Sekhmet,140,Ground,,5,110,115,100,100,100,5300.0,6620.0,790.0,997.0,650.0,830.0,3.8,All-Rounder,Impératrice des Sables,,False,https://paldb.cc/fr/Sekhmet,2026-08-06
Prixter,141,Dark,Ground,5,90,110,90,100,100,4500.0,5580.0,760.0,958.0,590.0,752.0,3.2,All-Rounder,Scorpion Patoxique,,False,https://paldb.cc/fr/Prixter,2026-08-06
Prixter Lux,141,Electric,Ground,6,90,115,90,100,100,4500.0,5580.0,790.0,997.0,590.0,752.0,3.3,Attacker,Scorpion Statique,,False,https://paldb.cc/fr/Prixter_Lux,2026-08-06
Tetroise,142,Ground,,8,95,100,135,100,100,4700.0,5840.0,700.0,880.0,860.0,1103.0,4.0,All-Rounder,Tortue Maçonne,,True,https://paldb.cc/fr/Tetroise,2026-08-06
Tetroise Primo,142,Neutral,,8,95,100,140,100,100,4700.0,5840.0,700.0,880.0,890.0,1142.0,4.1,All-Rounder,Tortue Madone,,True,https://paldb.cc/fr/Tetroise_Primo,2026-08-06
Nyafia,143,Dark,,4,110,100,100,100,100,5300.0,6620.0,700.0,880.0,650.0,830.0,3.4,All-Rounder,Furie Féline,,False,https://paldb.cc/fr/Nyafia,2026-08-06
Mimog,144,Neutral,,7,60,60,130,100,100,3300.0,4020.0,460.0,568.0,830.0,1064.0,2.2,Tank,Crochetage,,False,https://paldb.cc/fr/Mimog,2026-08-06
Xenovader,145,Dark,,7,90,125,85,100,100,4500.0,5580.0,850.0,1075.0,560.0,713.0,3.5,Attacker,Envahisseur Non Identifié,Organisme Inconnu,False,https://paldb.cc/fr/Xenovader,2026-08-06
Xenogard,146,Dragon,,9,110,120,130,100,100,5300.0,6620.0,820.0,1036.0,830.0,1064.0,4.7,All-Rounder,Intrus Non Identifié,Organisme Inconnu,True,https://paldb.cc/fr/Xenogard,2026-08-06
Prunelia,147,Grass,Dark,5,105,95,100,100,100,5100.0,6360.0,670.0,841.0,650.0,830.0,3.2,All-Rounder,Prospérité Agricole,,False,https://paldb.cc/fr/Prunelia,2026-08-06
Nitemary,148,Dark,,6,105,95,105,100,100,5100.0,6360.0,670.0,841.0,680.0,869.0,3.3,All-Rounder,Lapin Volâme,,False,https://paldb.cc/fr/Nitemary,2026-08-06
Nitemary Botan,148,Grass,,7,110,95,105,100,100,5300.0,6620.0,670.0,841.0,680.0,869.0,3.3,All-Rounder,Lapin Blokâme,,False,https://paldb.cc/fr/Nitemary_Botan,2026-08-06
Smokie,149,Dark,,2,85,90,85,100,100,4300.0,5320.0,640.0,802.0,560.0,713.0,2.4,All-Rounder,Chien fidèle Smokie,,False,https://paldb.cc/fr/Smokie,2026-08-06
Smokie Cryst,149,Dark,Ice,3,85,90,90,100,100,4300.0,5320.0,640.0,802.0,590.0,752.0,2.5,All-Rounder,Froide Bête,,False,https://paldb.cc/fr/Smokie_Cryst,2026-08-06
Omascul,150,Dark,,4,95,105,100,100,100,4700.0,5840.0,730.0,919.0,650.0,830.0,3.3,All-Rounder,Danse du Masque,,False,https://paldb.cc/fr/Omascul,2026-08-06
Whalaska,151,Ice,Water,8,105,115,110,100,100,5100.0,6360.0,790.0,997.0,710.0,908.0,4.0,All-Rounder,Céta-Frais,,True,https://paldb.cc/fr/Whalaska,2026-08-06
Whalaska Ignis,151,Ice,Fire,8,105,120,110,100,100,5100.0,6360.0,820.0,1036.0,710.0,908.0,4.1,All-Rounder,Céta-Chaud,,True,https://paldb.cc/fr/Whalaska_Ignis,2026-08-06
Verdash,152,Grass,,8,90,115,90,100,100,4500.0,5580.0,790.0,997.0,590.0,752.0,3.3,Attacker,Acrobate des Plaines,,False,https://paldb.cc/fr/Verdash,2026-08-06
Splatterina,153,Dark,,4,95,115,105,100,100,4700.0,5840.0,790.0,997.0,680.0,869.0,3.7,All-Rounder,Lame Amoureuse,Sadique,False,https://paldb.cc/fr/Splatterina,2026-08-06
Gildane,154,Ground,,8,120,110,110,100,100,5700.0,7140.0,760.0,958.0,710.0,908.0,4.1,All-Rounder,Protection Sablonneuse,,True,https://paldb.cc/fr/Gildane,2026-08-06
Dogen,155,Neutral,,6,90,100,100,100,100,4500.0,5580.0,700.0,880.0,650.0,830.0,3.1,All-Rounder,Prière de Retour,,False,https://paldb.cc/fr/Dogen,2026-08-06
Bulldosu,156,Ground,,4,115,95,100,100,100,5500.0,6880.0,670.0,841.0,650.0,830.0,3.3,All-Rounder,Carrure de Champion,,True,https://paldb.cc/fr/Bulldosu,2026-08-06
Celesdir,157,Neutral,,6,120,110,100,100,100,5700.0,7140.0,760.0,958.0,650.0,830.0,3.8,All-Rounder,Bénédiction Purificatrice,,True,https://paldb.cc/fr/Celesdir,2026-08-06
Celesdir Noct,157,Dark,,7,120,115,100,100,100,5700.0,7140.0,790.0,997.0,650.0,830.0,4.0,All-Rounder,Bénédiction du Chaos,,True,https://paldb.cc/fr/Celesdir_Noct,2026-08-06
Astegon,158,Dragon,Dark,9,100,125,125,100,100,4900.0,6100.0,850.0,1075.0,800.0,1025.0,4.6,All-Rounder,Dragon en Armure Noire,Peau dure,True,https://paldb.cc/fr/Astegon,2026-08-06
Knocklem,159,Ground,,9,126,110,135,100,100,5940.0,7452.0,760.0,958.0,860.0,1103.0,4.7,All-Rounder,Mode Gardien d'Acier,Poids Lourd,False,https://paldb.cc/fr/Knocklem,2026-08-06
Knocklem Ignis,159,Fire,,10,105,115,135,100,100,5100.0,6360.0,790.0,997.0,860.0,1103.0,4.6,All-Rounder,Mode Gardien de Sang,Poids Lourd,False,https://paldb.cc/fr/Knocklem_Ignis,2026-08-06
Silvegis,160,Dragon,,8,120,110,115,100,100,5700.0,7140.0,760.0,958.0,740.0,947.0,4.2,All-Rounder,Bouclier Aegis,Poids Lourd,True,https://paldb.cc/fr/Silvegis,2026-08-06
Azurmane,161,Electric,,7,130,120,110,100,100,6100.0,7660.0,820.0,1036.0,710.0,908.0,4.5,All-Rounder,Charge Plasma,,True,https://paldb.cc/fr/Azurmane,2026-08-06
Valentail,162,Neutral,,2,75,80,70,100,100,3900.0,4800.0,580.0,724.0,470.0,596.0,1.6,All-Rounder,Extensibilité Féline,,False,https://paldb.cc/fr/Valentail,2026-08-06
Snock,163,Electric,,2,65,70,75,100,100,3500.0,4280.0,520.0,646.0,500.0,635.0,1.3,All-Rounder,Batterie Dissuasive,,False,https://paldb.cc/fr/Snock,2026-08-06
Snock Lux,163,Electric,Ground,3,65,70,80,100,100,3500.0,4280.0,520.0,646.0,530.0,674.0,1.4,All-Rounder,Coquille Invasive,,False,https://paldb.cc/fr/Snock_Lux,2026-08-06
Souffline,164,Grass,,3,70,75,60,100,100,3700.0,4540.0,550.0,685.0,410.0,518.0,1.1,Attacker,Fée Duveteuse,,False,https://paldb.cc/fr/Souffline,2026-08-06
Lapiron,165,Ground,,3,70,75,80,100,100,3700.0,4540.0,550.0,685.0,530.0,674.0,1.6,All-Rounder,Terre Chérie,,False,https://paldb.cc/fr/Lapiron,2026-08-06
Hoodle,166,Dark,,3,70,85,80,100,100,3700.0,4540.0,610.0,763.0,530.0,674.0,1.9,All-Rounder,Rôdeur du Néant,,False,https://paldb.cc/fr/Hoodle,2026-08-06
Slowatt,167,Electric,,4,80,75,70,100,100,4100.0,5060.0,550.0,685.0,470.0,596.0,1.5,All-Rounder,Mode Relax,,False,https://paldb.cc/fr/Slowatt,2026-08-06
Bakemi,168,Dark,,4,70,85,80,100,100,3700.0,4540.0,610.0,763.0,530.0,674.0,1.9,All-Rounder,Fantômette Joviale,,False,https://paldb.cc/fr/Bakemi,2026-08-06
Solmora,169,Water,,4,90,90,85,100,100,4500.0,5580.0,640.0,802.0,560.0,713.0,2.4,All-Rounder,Môle Charismatique,,True,https://paldb.cc/fr/Solmora,2026-08-06
Solmora Lux,169,Water,Electric,5,90,95,85,100,100,4500.0,5580.0,670.0,841.0,560.0,713.0,2.6,All-Rounder,Môle Plasmique,,True,https://paldb.cc/fr/Solmora_Lux,2026-08-06
Lapure,170,Neutral,,4,105,100,100,100,100,5100.0,6360.0,700.0,880.0,650.0,830.0,3.3,All-Rounder,Manches Longues Triomphantes,,False,https://paldb.cc/fr/Lapure,2026-08-06
Eidrolon,171,Dragon,Dark,7,115,125,120,100,100,5500.0,6880.0,850.0,1075.0,770.0,986.0,4.7,All-Rounder,Ptérodactyle Libre,,True,https://paldb.cc/fr/Eidrolon,2026-08-06
Eidrolon Ignis,171,Dragon,Fire,8,115,130,120,100,100,5500.0,6880.0,880.0,1114.0,770.0,986.0,4.8,All-Rounder,Ptérodactyle Furieux,,True,https://paldb.cc/fr/Eidrolon_Ignis,2026-08-06
Dynamoff,172,Electric,,6,75,85,80,100,100,3900.0,4800.0,610.0,763.0,530.0,674.0,2.0,All-Rounder,Couvaison Électromassante,,True,https://paldb.cc/fr/Dynamoff,2026-08-06
Tropicaw,173,Grass,,5,85,85,90,100,100,4300.0,5320.0,610.0,763.0,590.0,752.0,2.3,All-Rounder,Danse Florale,,False,https://paldb.cc/fr/Tropicaw,2026-08-06
Flaracle,174,Fire,,7,110,125,105,100,100,5300.0,6620.0,850.0,1075.0,680.0,869.0,4.2,All-Rounder,Avenir Brûlant,,False,https://paldb.cc/fr/Flaracle,2026-08-06
Ophydia,175,Grass,Water,9,130,115,120,100,100,6100.0,7660.0,790.0,997.0,770.0,986.0,4.6,All-Rounder,Brume Glorieuse,,True,https://paldb.cc/fr/Ophydia,2026-08-06
Dupin,176,Fire,,7,100,110,100,100,100,4900.0,6100.0,760.0,958.0,650.0,830.0,3.5,All-Rounder,Passe-casse,,False,https://paldb.cc/fr/Dupin,2026-08-06
Roujay,177,Dark,,5,110,115,95,100,100,5300.0,6620.0,790.0,997.0,620.0,791.0,3.7,All-Rounder,Ailes des Ténèbres,,True,https://paldb.cc/fr/Roujay,2026-08-06
Venusa,178,Dark,,5,80,85,90,100,100,4100.0,5060.0,610.0,763.0,590.0,752.0,2.3,All-Rounder,Sagacité Reptilienne,,False,https://paldb.cc/fr/Venusa,2026-08-06
Mycora,179,Grass,,6,105,95,90,100,100,5100.0,6360.0,670.0,841.0,590.0,752.0,2.9,All-Rounder,Spores Charmants,,False,https://paldb.cc/fr/Mycora,2026-08-06
